m,c
-3.18,3.180199476696985
-3.179,3.179200214344169
-3.178,3.178200954540598
-3.177,3.177201697294387
-3.176,3.176202442613675
-3.175,3.1752031905066236
-3.174,3.17420394098142
-3.173,3.173204694046272
-3.172,3.1722054497094123
-3.171,3.1712062079790977
-3.17,3.170206968863608
-3.169,3.169207732371246
-3.168,3.1682084985103387
-3.167,3.1672092672892385
-3.166,3.1662100387163186
-3.165,3.165210812799979
-3.164,3.164211589548642
-3.163,3.163212368970753
-3.162,3.162213151074785
-3.161,3.161213935869233
-3.16,3.160214723362614
-3.159,3.159215513563473
-3.158,3.158216306480378
-3.157,3.1572171021219204
-3.156,3.1562179004967175
-3.155,3.1552187016134097
-3.154,3.154219505480664
-3.153,3.1532203121071696
-3.152,3.1522211215016416
-3.151,3.15122193367282
-3.15,3.1502227486294694
-3.149,3.1492235663803796
-3.148,3.1482243869343645
-3.147,3.1472252103002636
-3.146,3.1462260364869414
-3.145,3.1452268655032882
-3.144,3.1442276973582173
-3.143,3.143228532060669
-3.142,3.14222936961961
-3.141,3.141230210044029
-3.14,3.1402310533429434
-3.139,3.139231899525394
-3.138,3.138232748600448
-3.137,3.1372336005771992
-3.136,3.1362344554647645
-3.135,3.135235313272288
-3.134,3.1342361740089406
-3.133,3.1332370376839176
-3.132,3.1322379043064403
-3.131,3.1312387738857574
-3.13,3.130239646431141
-3.129,3.129240521951893
-3.128,3.1282414004573376
-3.127,3.1272422819568275
-3.126,3.1262431664597417
-3.125,3.125244053975485
-3.124,3.1242449445134883
-3.123,3.1232458380832098
-3.122,3.122246734694133
-3.121,3.1212476343557705
-3.12,3.120248537077659
-3.119,3.119249442869363
-3.118,3.1182503517404734
-3.117,3.1172512637006093
-3.116,3.116252178759415
-3.115,3.1152530969265624
-3.114,3.1142540182117506
-3.113,3.113254942624707
-3.112,3.1122558701751846
-3.111,3.111256800872963
-3.11,3.1102577347278513
-3.109,3.109258671749685
-3.108,3.1082596119483266
-3.107,3.1072605553336676
-3.106,3.106261501915624
-3.105,3.1052624517041436
-3.104,3.104263404709199
-3.103,3.103264360940792
-3.102,3.10226532040895
-3.101,3.1012662831237328
-3.1,3.100267249095223
-3.099,3.099268218333535
-3.098,3.098269190848809
-3.097,3.0972701666512155
-3.096,3.0962711457509515
-3.095,3.0952721281582436
-3.094,3.0942731138833457
-3.093,3.0932741029365403
-3.092,3.09227509532814
-3.091,3.091276091068484
-3.09,3.09027709016794
-3.089,3.0892780926369077
-3.088,3.088279098485811
-3.087,3.0872801077251064
-3.086,3.086281120365278
-3.085,3.0852821364168377
-3.084,3.0842831558903283
-3.083,3.083284178796321
-3.082,3.082285205145416
-3.081,3.0812862349482435
-3.08,3.0802872682154625
